congress,chamber,bioguide,last_name,state,district,party,votes,agree_pct,predicted_agree,net_trump_vote
0,house,A000055,Aderholt,AL,4,Republican,150,0.9733333333333334,0.95674339,63
115,house,A000055,Aderholt,AL,4,R,95,0.968421052631579,0.94634916,63
116,house,A000055,Aderholt,AL,4,R,55,0.9818181818181818,0.97469705,63
0,house,A000367,Amash,MI,3,Independent,148,0.6351351351351351,0.76493643,9.4
115,house,A000367,Amash,MI,3,R,96,0.5416666666666666,0.84738551,9.4
116,house,A000367,Amash,MI,3,I,52,0.8076923076923077,0.61272275,9.4
0,house,A000369,Amodei,NV,2,Republican,148,0.972972972972973,0.81410719,12.3
115,house,A000369,Amodei,NV,2,R,94,0.9893617021276596,0.87652676,12.3
116,house,A000369,Amodei,NV,2,R,54,0.9444444444444444,0.7054509,12.3
0,house,A000370,Adams,NC,12,Democrat,147,0.11564625850340136,0.13767073,-40
115,house,A000370,Adams,NC,12,D,92,0.17391304347826086,0.20378724,-40
116,house,A000370,Adams,NC,12,D,55,0.01818181818181818,0.02707584,-40
0,house,A000371,Aguilar,CA,31,Democrat,148,0.1891891891891892,0.21469394,-21.1
115,house,A000371,Aguilar,CA,31,D,94,0.2765957446808511,0.31386763,-21.1
116,house,A000371,Aguilar,CA,31,D,54,0.037037037037037035,0.04205826,-21.1
0,house,A000372,Allen,GA,12,Republican,151,0.9668874172185431,0.87290699,16.2
115,house,A000372,Allen,GA,12,R,95,0.968421052631579,0.90578921,16.2
116,house,A000372,Allen,GA,12,R,56,0.9642857142857143,0.81712466,16.2
0,house,A000374,Abraham,LA,5,Republican,127,0.937007874015748,0.937885,29.4
115,house,A000374,Abraham,LA,5,R,96,0.9270833333333334,0.9458395,29.4
116,house,A000374,Abraham,LA,5,R,31,0.967741935483871,0.91325172,29.4
0,house,A000375,Arrington,TX,19,Republican,150,0.96,0.9562212,49
115,house,A000375,Arrington,TX,19,R,95,0.968421052631579,0.94961009,49
116,house,A000375,Arrington,TX,19,R,55,0.9454545454545454,0.96764039,49
0,house,A000376,Allred,TX,32,Democrat,55,0.03636363636363636,0.17745762,-1.9
116,house,A000376,Allred,TX,32,D,55,0.03636363636363636,0.17745762,-1.9
0,house,A000377,Armstrong,ND,0,Republican,54,0.9259259259259259,0.95264984,35.72888837
116,house,A000377,Armstrong,ND,0,R,54,0.9259259259259259,0.95264984,35.72888837
