,tweet_count,rt_avg,rt_var,time_avg,time_var,tag_obama_sum,tag_criminal_sum,tag_thanks_sum,tag_america_sum,tag_china_sum,tag_money_sum,tag_president_sum,tag_democrat_sum,tag_trump_sum,tag_vote_sum,tag_jobs_sum,is_weekend,delta
0,4,21676.75,16509668.25,945.5,34007.0,0,0,0,1,0,0,0,0,0,0,0,False,2.322329999999994
1,8,30001.75,271166402.21428573,501.125,203751.26785714287,0,0,0,0,0,0,0,0,0,2,0,False,-3.3889899999999997
2,11,17652.090909090908,114886383.29090908,724.9090909090909,288773.0909090909,3,0,0,2,0,0,0,0,0,0,0,False,-0.24011999999999745
3,7,24016.285714285714,139632188.9047619,1076.2857142857142,62578.90476190476,0,0,0,0,0,0,0,0,0,1,0,False,-0.26059000000000054
4,5,16666.8,137075679.7,936.0,63250.0,0,0,0,0,0,0,0,0,0,0,0,True,0.27062000000000097
5,7,32321.85714285714,337874619.8095238,1130.2857142857142,85743.90476190476,1,0,0,0,0,0,0,0,0,0,0,True,-0.046860000000002344
6,7,31093.0,22792926.999999996,855.2857142857143,35302.90476190476,0,0,0,2,0,0,0,1,0,0,0,False,0.2414500000000004
7,3,32584.0,32023593.0,471.0,136116.0,1,0,0,0,0,0,0,2,0,0,0,False,0.45292999999999495
8,4,29467.25,560983070.9166666,271.75,117604.91666666667,0,0,0,0,0,0,0,0,0,0,0,False,0.01783000000001067
9,8,30138.875,224295931.55357143,612.375,77467.41071428571,1,0,0,0,0,1,0,0,0,0,0,False,-0.597830000000009
10,7,38325.142857142855,225427173.47619048,804.8571428571429,66986.80952380953,1,0,0,1,0,0,0,0,0,1,0,False,0.02405000000000257
11,9,32344.777777777777,207725648.69444448,910.4444444444445,137905.77777777778,0,0,0,1,0,0,0,0,0,0,0,True,0.19996000000000436
12,6,22287.5,186357171.5,863.1666666666666,407994.9666666667,0,0,0,1,0,0,0,0,0,0,0,True,-0.014860000000005869
13,6,26749.166666666668,670331665.3666666,842.6666666666666,157861.06666666668,0,0,0,0,0,0,0,0,0,0,0,False,0.23739000000000487
14,5,23566.4,359394210.3,552.4,138750.8,2,0,0,0,0,0,0,0,0,0,0,False,-0.15504000000000673
15,11,21960.727272727272,51424115.61818181,948.5454545454545,124337.47272727272,0,0,0,1,0,0,0,1,2,0,1,False,-0.15908999999999196
16,8,23435.625,362400283.41071427,800.375,135926.26785714287,1,0,0,0,0,0,0,0,0,0,0,False,-0.06426000000000442
17,3,27213.0,138991027.0,1004.6666666666666,119700.33333333334,0,0,0,0,1,0,0,0,1,0,0,False,0.14191999999999894
18,9,15483.666666666666,60650428.50000001,1091.2222222222222,92024.19444444444,0,0,0,0,0,0,0,0,0,0,0,True,-0.11782999999999788
19,9,18496.11111111111,59300558.86111112,723.8888888888889,110720.11111111111,0,0,0,0,0,0,1,0,1,0,0,True,-0.8432299999999984
20,3,13553.333333333334,3369276.333333334,1034.0,8001.0,0,0,0,0,0,0,0,0,0,0,0,False,1.0093499999999977
21,6,15247.0,43187022.4,859.0,296034.4,0,0,0,1,0,0,0,0,1,0,0,False,0.02103999999999928
22,11,23585.727272727272,144296110.8181818,958.0909090909091,71384.89090909091,2,0,0,1,0,0,0,0,0,0,0,False,0.08411999999999864
23,6,21957.166666666668,15189426.966666665,881.1666666666666,76526.56666666667,1,0,0,0,0,0,0,2,0,0,0,False,-0.1127699999999976
24,8,19164.625,246116955.4107143,967.375,100398.83928571429,0,0,0,2,0,0,0,1,0,0,1,False,-0.15263000000000204
25,4,17103.25,261312314.91666666,717.5,264045.6666666667,0,0,0,0,0,0,0,0,0,0,0,True,-0.2060599999999937
26,1,26224.0,0.0,1317.0,0.0,0,0,0,0,0,0,0,0,0,0,0,True,-0.269200000000005
27,4,24860.25,457300176.25,1040.25,42734.25,0,0,0,1,0,0,0,0,0,0,0,False,-0.1712399999999974
28,3,21923.0,27519964.0,895.6666666666666,557856.3333333333,0,0,0,0,0,0,0,0,0,0,0,False,-1.1196200000000047
29,2,14176.0,8355872.0,755.0,450.0,0,0,0,1,0,0,0,0,0,0,0,False,0.455210000000001
30,1,10563.0,0.0,1373.0,0.0,0,0,0,0,0,0,0,0,1,0,0,False,0.10070999999999941
31,6,16775.666666666668,42824164.666666664,561.1666666666666,196388.56666666665,0,0,0,0,0,0,0,0,1,0,0,False,-0.10885999999999285
32,7,29416.0,270809412.3333333,895.2857142857143,155626.2380952381,1,0,0,1,0,0,1,0,0,1,0,True,-0.050130000000002894
33,4,20314.5,14633979.0,926.0,71911.33333333333,1,0,0,0,0,0,1,0,0,0,0,True,0.02808000000000277
34,2,15031.0,272322.0,1167.0,39762.0,1,0,0,1,0,0,0,0,1,0,0,False,-0.03156000000000603
35,1,11039.0,0.0,163.0,0.0,0,0,0,0,0,0,0,0,0,0,0,False,0.8161899999999989
36,3,14973.0,117203799.0,336.6666666666667,173797.3333333333,0,0,0,0,0,0,0,0,0,0,0,False,-0.04477999999999582
37,1,37270.0,0.0,660.0,0.0,0,0,0,0,0,0,0,0,0,0,1,False,0.191989999999997
38,13,21393.0,239400657.83333334,805.7692307692307,242697.85897435897,0,0,0,2,0,0,0,2,0,0,0,False,0.0
39,7,37415.857142857145,130938587.8095238,717.8571428571429,1417.142857142857,5,0,0,0,0,0,0,0,1,0,0,True,0.034669999999998424
40,3,30804.333333333332,39811010.33333333,814.0,41788.0,0,0,0,1,0,0,0,0,0,0,0,True,0.1467799999999997
41,4,19102.0,45296458.0,1317.75,5502.25,0,0,0,2,0,0,0,0,1,0,2,False,0.26179000000000485
42,8,19660.875,16518487.267857146,651.25,69753.64285714286,2,0,0,3,0,0,0,0,1,0,1,False,-0.005760000000002208
43,6,17647.0,33957993.2,825.6666666666666,289994.6666666667,0,0,0,1,0,0,0,0,0,0,0,False,-0.08679999999999666
44,4,14998.75,21639394.25,1140.25,81408.91666666667,0,0,0,0,0,0,0,0,0,0,0,False,0.2573500000000024
45,3,8597.666666666666,720310.3333333337,859.0,4963.0,0,0,0,0,0,0,0,0,0,0,0,False,0.17320999999999742
46,1,16563.0,0.0,879.0,0.0,0,0,0,0,0,0,0,0,0,0,0,True,0.08319000000000187
47,1,6868.0,0.0,756.0,0.0,0,0,0,0,0,0,0,0,1,0,0,True,-0.22742000000000218
48,5,12140.0,28974864.5,1046.8,73059.7,0,0,0,0,0,0,0,0,0,0,0,False,-0.24312000000000467
49,2,18541.0,75276450.0,936.0,2592.0,0,0,0,1,0,0,0,0,0,0,1,False,-0.5641499999999979
50,7,18984.14285714286,116139340.14285713,867.5714285714286,102327.28571428572,1,0,0,0,0,0,0,0,0,0,0,False,-0.14007999999999754
51,7,12346.142857142857,10473615.809523812,914.8571428571429,309837.14285714284,0,0,0,1,0,0,0,0,0,0,0,False,-0.2301000000000002
52,9,10249.666666666666,24691205.75,763.3333333333334,9497.5,1,0,0,1,1,0,0,0,1,0,0,False,-0.6523499999999984
53,2,20263.5,1359600.5,799.0,32.0,0,0,0,0,0,1,0,0,0,0,0,True,-0.22668000000000177
54,1,7472.0,0.0,1220.0,0.0,0,0,0,0,0,0,0,0,0,0,0,True,0.07903999999999911
55,7,17046.428571428572,13474662.619047621,844.7142857142857,75374.90476190476,1,0,0,0,0,0,0,1,0,0,0,False,-0.14414000000000016
56,4,12648.0,19042882.0,826.25,211348.25,0,0,0,2,0,0,0,0,0,0,0,False,-0.07693000000000438
57,1,13100.0,0.0,789.0,0.0,0,0,0,0,0,0,0,0,0,0,0,False,-0.05302999999999969
58,7,17516.85714285714,22877442.476190474,597.1428571428571,272061.14285714284,1,0,0,1,0,0,0,0,2,0,0,False,-0.13147999999999627
59,4,14768.75,13274792.916666666,894.75,33088.25,0,0,0,1,0,0,0,0,0,0,0,False,-0.007840000000001623
60,4,17050.75,35212566.25,981.0,63925.333333333336,0,0,0,1,0,0,0,0,1,0,0,True,-0.06042999999999665
61,1,15590.0,0.0,741.0,0.0,0,0,0,0,0,0,0,1,0,0,0,True,-0.27709000000000117
62,1,21319.0,0.0,64.0,0.0,0,0,0,0,0,0,0,0,0,0,0,False,-0.2529400000000024
63,10,15948.2,53526394.84444445,656.9,287639.65555555554,1,0,0,1,0,2,0,1,1,0,1,False,-0.3543099999999981
64,4,13744.25,27708765.583333332,1049.75,138755.58333333334,0,0,0,0,0,0,0,0,0,0,0,False,-0.5674600000000041
65,9,9359.555555555555,25590966.27777778,1063.7777777777778,164629.94444444444,0,0,0,2,1,0,0,0,0,0,0,False,-0.15438999999999226
66,8,12199.375,11771694.839285713,916.625,144593.98214285713,0,0,0,2,0,0,0,0,0,0,0,False,0.06725999999999743
67,8,14747.875,29468834.98214286,972.25,31637.071428571428,2,0,0,1,0,0,0,0,2,0,0,True,-0.10057000000000471
68,3,17117.333333333332,15109432.333333332,791.0,409.0,0,0,0,0,0,0,0,0,0,0,0,True,-0.6006499999999946
69,8,19048.25,36719523.64285716,752.0,120307.42857142857,1,0,0,0,0,1,0,0,1,0,0,False,0.1674199999999999
70,4,9618.0,1708350.0,1079.5,49192.333333333336,0,0,0,0,0,0,0,0,1,0,0,False,0.6449099999999959
71,1,13159.0,0.0,1278.0,0.0,0,0,0,1,0,0,0,0,0,0,0,False,-0.24940999999999747
72,2,16883.5,74823144.5,621.0,478242.0,0,0,0,1,0,0,0,0,0,0,1,False,-0.022399999999997533
73,1,15195.0,0.0,1402.0,0.0,0,0,0,0,0,0,0,0,0,0,0,False,0.012929999999997221
74,5,15084.4,64045939.8,1002.6,23496.8,0,0,0,0,1,0,0,0,0,0,0,True,0.0157299999999978
75,2,12998.5,13598112.5,920.5,0.5,0,0,0,0,0,0,0,0,0,0,0,True,0.4602999999999966
76,3,15677.0,1205287.0,950.0,551691.0,0,0,0,2,0,0,0,0,0,0,0,False,0.6359500000000011
77,5,19940.6,371929091.3,831.2,49714.2,0,0,0,0,2,0,0,0,0,0,0,False,0.1309100000000072
78,6,13276.333333333334,23604114.666666668,963.6666666666666,232478.66666666666,0,0,0,1,1,0,0,0,0,0,0,False,-0.19996000000000436
79,4,24124.0,62253430.0,694.25,225190.91666666666,0,0,0,1,1,0,0,0,0,0,0,False,-0.17332999999999998
80,3,10191.666666666666,42254466.33333333,915.0,386623.0,0,0,0,0,0,0,0,0,0,0,0,False,-0.038129999999995334
