,tweet_count,rt_avg,rt_var,time_avg,time_var,tag_obama_sum,tag_criminal_sum,tag_thanks_sum,tag_america_sum,tag_china_sum,tag_money_sum,tag_president_sum,tag_democrat_sum,tag_trump_sum,tag_vote_sum,tag_jobs_sum,is_weekend,prev_day_approval,approve_estimate
0,18,11739.833333333334,35634829.08823531,09:56:33.722222,167205.4760067175,0,0,0,1,0,0,1,5,1,0,0,False,45.46693,40.68325
1,15,14270.333333333334,48384498.52380953,09:21:23.333333,177292.55078042328,1,0,0,1,0,1,1,1,2,1,0,False,45.442640000000004,40.566990000000004
2,47,12964.255319148937,38046366.36817759,11:45:01.255319,120769.85097183679,4,0,0,5,0,2,0,12,3,2,0,False,47.76497,40.760259999999995
3,41,12328.609756097561,40685211.79390244,06:23:37.414634,158317.26452743902,1,0,0,1,0,0,2,4,3,10,0,False,44.37598,41.257909999999995
4,18,13980.222222222223,48612423.12418301,05:15:22.722222,128947.67666031228,1,0,0,1,0,0,0,3,2,1,0,False,44.13586,41.208040000000004
5,22,17860.954545454544,47907728.71212121,09:54:07.181818,249275.24369408368,4,0,0,4,0,0,1,4,3,0,0,True,43.87527,41.53567
6,55,12478.50909090909,55216581.18047139,15:31:06.836364,105326.92839263,8,0,0,7,0,1,0,9,2,2,0,True,44.14589,41.52386
7,22,16930.5,55381350.64285716,13:45:12.272727,187534.60450216453,0,0,0,5,0,1,2,3,1,0,0,False,44.09903,41.52386
8,32,24680.78125,142188332.24092743,09:53:14.656250,177579.67259156585,4,0,0,5,0,0,0,5,0,2,1,False,44.34048,41.55617
9,25,22672.28,87536876.79333334,12:45:34.440000,255496.08495555553,0,0,0,2,0,0,2,4,2,0,0,False,44.793409999999994,41.62344
10,15,19821.533333333333,103410283.4095238,12:43:50.066667,230838.05894708994,2,0,0,2,1,0,0,2,1,2,0,False,44.811240000000005,41.67105
11,34,17318.147058823528,34287030.371657744,14:10:07.352941,141787.58291047733,2,0,0,5,1,0,0,5,3,1,0,False,44.213409999999996,41.99435
12,24,17557.083333333332,18450959.123188403,13:52:21.250000,191736.44476449274,0,0,0,1,3,0,0,4,1,0,0,True,44.23746,42.16757
13,28,14760.714285714286,51370941.24867726,12:12:06.571429,232201.1895149912,1,0,0,1,2,0,1,4,1,4,0,True,44.43742,42.09176
14,52,8947.26923076923,29683874.435897443,15:41:04.538462,94065.43188955924,2,0,0,4,3,0,0,2,2,2,0,False,44.42256,42.12035
15,24,16718.833333333332,32178643.71014493,11:34:37.458333,130068.75062751611,1,0,0,1,2,0,1,3,4,0,0,False,44.65995,41.86902
16,49,14425.755102040815,40243309.02210883,11:02:39.673470,104498.27638180273,5,0,0,6,0,0,2,11,3,3,0,False,44.504909999999995,41.59834
17,51,13932.980392156862,42255938.41960784,08:45:16.470588,118640.87640392156,4,0,0,9,0,0,1,2,7,1,0,False,44.34582,41.626329999999996
18,26,16179.576923076924,72575002.01384614,13:35:23.615385,57167.0814017094,2,0,0,6,1,1,2,2,4,0,0,False,44.28156,41.52132
19,44,16206.022727272728,68173589.32505284,16:18:09.454545,134068.45083274605,7,0,0,2,3,1,4,6,2,1,0,True,44.42348,41.60159
20,45,18529.51111111111,116647970.98282832,09:44:09.311111,229984.86073007854,5,0,0,3,2,0,1,8,5,1,0,True,44.30565,41.60159
21,36,19464.305555555555,90485323.53253964,11:50:19.472222,294513.2510870811,4,0,0,2,0,0,0,4,1,0,0,False,43.46242,41.60159
22,42,16756.333333333332,249724772.86178863,13:29:16.690476,117011.04561636985,4,0,0,2,0,0,2,3,4,0,0,False,44.47177,41.20785
23,23,26506.565217391304,538289186.5296444,15:34:49.782609,82866.42876152834,2,0,0,0,0,0,2,9,0,3,0,False,44.49281,41.27147
24,30,20877.5,149980322.9482759,12:28:45.500000,98806.47495689655,1,0,0,7,1,0,0,6,1,3,1,False,44.57693,41.47866
25,35,21815.485714285714,238103346.90420175,10:58:28.257143,203297.53234220354,6,0,0,6,3,1,4,6,5,3,2,False,44.46416,42.1251
26,62,12238.370967741936,244050449.5158647,10:17:33.435484,176493.8325375316,5,0,0,4,0,0,1,5,5,1,0,True,44.31153,42.77737
27,20,25532.2,364484618.06315786,12:49:36.250000,225793.50809576025,1,0,0,3,0,0,0,2,0,0,0,True,44.105470000000004,42.77737
28,24,20962.541666666668,315555523.1286232,09:36:30.958333,149732.29346568036,1,0,0,2,0,0,1,3,1,0,0,False,43.83627,42.77737
29,55,13514.272727272728,45871160.46127946,12:36:49.909091,59357.435239431354,4,0,0,2,1,0,3,9,3,0,0,False,43.66503,42.79345
30,37,15677.81081081081,44941792.21321321,13:26:17.297297,128254.18936519853,6,0,0,0,1,0,3,12,6,0,0,False,42.54541,42.93504
31,20,21759.4,209474475.30526316,13:43:27.550000,265387.3365928363,2,0,0,1,0,0,1,3,2,1,0,False,43.00062,43.13648
32,13,18195.46153846154,46084579.43589744,13:58:05.769231,323098.6724145299,2,0,0,1,0,0,0,1,1,0,0,False,43.10133,42.43841
33,19,18719.21052631579,102853448.17543858,12:19:44.157895,217159.34398960366,1,0,0,4,1,1,0,1,0,0,0,True,42.992470000000004,42.44057
34,19,15798.052631578947,52329003.274853796,17:16:37.052631,116890.96396523716,5,0,0,3,0,1,1,2,5,0,0,True,42.94234,42.178309999999996
35,16,13737.4375,44810476.395833336,09:26:18.062500,239758.44964699072,1,0,0,0,0,0,0,1,3,0,0,False,42.970420000000004,42.206520000000005
36,7,20750.285714285714,18154054.57142857,10:04:35.714286,255671.09154761903,0,0,0,2,0,0,0,0,0,0,0,False,42.93886,42.066629999999996
37,43,11178.232558139534,30606681.420819476,12:58:06.372093,39846.746825704446,2,0,0,3,0,0,1,3,7,0,1,False,43.75505,41.77494
38,12,14564.416666666666,30388405.901515152,11:25:11.916667,248022.71360900672,0,0,0,2,0,1,0,0,0,1,0,False,43.71027,41.78471
39,31,12964.193548387097,31606649.827956993,16:29:21.838710,108864.60353882915,4,0,0,3,1,0,2,3,3,0,0,False,43.90226,41.767140000000005
40,18,16354.833333333334,49740304.147058815,17:26:47.166667,67668.55647875817,1,0,0,0,0,0,0,4,2,0,0,True,43.90226,41.61408
41,23,14563.521739130434,52902814.26086957,17:15:37.521739,41123.37706741326,2,0,0,8,0,0,0,1,1,0,0,True,43.93693,41.63035
42,16,16517.125,47859759.450000025,10:51:14.062500,188340.82616550926,0,0,0,3,0,0,0,4,2,1,0,False,44.083709999999996,41.63035
43,26,13049.23076923077,32774646.904615384,06:38:05.538462,131779.21598290597,0,0,0,3,1,1,1,4,2,0,0,False,44.3455,41.65084
44,33,13519.272727272728,68137660.70454545,09:33:15.303030,159622.18756050084,1,0,0,2,3,0,0,2,0,0,0,False,44.33974,41.48745
45,26,10807.0,32792181.20000001,12:00:41.038462,113270.47098846154,0,0,0,1,0,0,0,0,1,7,0,False,44.25294,41.01595
46,36,11348.277777777777,19074903.40634921,12:37:25.277778,135783.54418430335,1,0,0,2,0,0,0,2,6,3,0,False,44.510290000000005,41.506890000000006
47,9,16245.888888888889,175068199.3611111,16:03:02,170597.35041666665,0,0,0,3,0,0,0,0,1,0,0,True,44.6835,41.49765
48,27,14817.111111111111,76051758.7179487,16:27:06.370370,158574.39218265275,1,0,0,3,1,1,0,1,2,0,1,True,44.766690000000004,41.459579999999995
49,26,12102.0,79324620.88,12:59:06.846154,147971.7964820513,3,0,0,1,1,0,1,1,2,0,0,False,44.53927,41.38813
50,30,10511.8,38162743.40689655,12:54:29.033333,192621.83004757343,0,0,0,3,0,0,0,0,2,0,0,False,44.29615,41.39689
51,25,11529.56,50699558.67333334,14:04:12.760000,192435.5299601852,0,0,0,5,6,0,0,3,4,2,0,False,43.732,41.35923
52,22,8909.863636363636,48468014.12337663,14:44:02.454545,130555.14597162098,2,0,0,2,3,2,0,0,0,0,0,False,43.59192,41.46416
53,33,10128.969696969696,50320367.78030303,13:29:31.393939,115207.28558922559,1,0,0,6,0,0,0,2,7,1,0,False,43.36182,41.163509999999995
54,34,10595.20588235294,37182458.04723707,14:08:31.735294,11165.422648296691,0,0,0,3,2,0,0,0,1,0,0,True,42.70947,41.263709999999996
55,61,6869.868852459016,35418396.71584701,12:58:30.426229,28789.893967213116,0,0,0,4,1,1,2,5,0,2,0,True,42.48279,41.263709999999996
56,24,12407.083333333334,33714638.07971015,16:26:40.958333,59422.42170239533,0,0,0,2,1,0,0,0,3,1,0,False,42.56183,41.263709999999996
57,15,17734.333333333332,54109301.8095238,11:36:53,207249.56230158728,1,0,0,1,0,0,0,0,1,0,0,False,42.41769,41.27499
58,15,19988.6,47997435.82857146,14:29:34.600000,67610.54114285714,0,0,0,1,1,1,0,3,0,1,0,False,42.340759999999996,41.26299
59,19,15584.263157894737,49417191.98245614,18:07:29.789474,101257.17949317739,1,0,0,5,0,0,2,1,0,0,0,False,42.287729999999996,41.32244
60,13,16502.076923076922,50473905.91025641,11:39:46.076923,102465.5553454416,0,0,0,1,0,0,0,1,3,0,0,False,42.15625,41.543
61,37,13294.513513513513,68070982.86786787,18:20:57.270270,91229.63326618285,1,0,0,6,2,0,0,0,1,0,0,True,42.14841,41.60328
62,35,11624.942857142858,41893365.23193279,08:58:28.914286,317741.3493524743,1,0,0,2,3,0,0,2,0,0,0,True,42.08798,41.62464
63,46,11374.521739130434,65249366.74396139,08:47:32.608696,152070.0541046699,1,0,0,6,8,1,3,4,0,0,0,False,41.81089,41.59114
64,12,13553.5,40745590.45454545,18:14:33.666667,283880.7696127946,0,0,0,4,0,0,0,1,0,0,0,False,41.55795,41.457
